,modAlgo,conf,dim,budget,train_r2,test_r2,train_mse,test_mse
10298,modDE,534,5,1500,0.0,-9.282543377873154e-05,5.023096160662472,5.023282404690155
10299,modDE,534,5,2500,0.0,-0.00024665057667001556,4.622705374427683,4.623159673252031
10300,modDE,534,5,5000,0.0,-0.00018542201091702458,4.314329556964763,4.314652475666692
10301,modDE,534,5,7500,0.0,-0.0002542814012930883,4.702332910127297,4.702813546584745
10302,modDE,534,30,1500,0.0,-5.393786237908316e-05,3.697438327333937,3.697518764391829
10303,modDE,534,30,3000,0.0,-2.254041885736413e-05,3.4317635542612606,3.431794536857158
10304,modDE,534,30,9000,0.0,-0.0006067426455150127,2.706673422629227,2.707327576417188
10305,modDE,534,30,15000,0.0,-0.00010497736864616414,2.3502263196145767,2.3503241608165704
10306,modDE,534,30,30000,0.0,-0.00019136000681383437,2.2584541694371225,2.258624406561801
10307,modDE,534,30,45000,0.0,-2.259086132871957e-05,3.5886331387804504,3.588665625439691
10308,modDE,535,5,250,0.0,-0.014790875995279461,4.24386547304397,4.255307473876846
10309,modDE,535,5,500,0.0,-6.348862043008552e-05,4.597774229246673,4.597890712455342
10310,modDE,535,5,1500,0.0,-0.0022176098316202264,8.258687136621024,8.266117356087808
10311,modDE,535,5,2500,0.0,-0.008122690715132653,8.334730620738593,8.363107028659659
10312,modDE,535,5,5000,0.0,-0.01910991357128755,9.628979730908368,9.69623597477286
10313,modDE,535,5,7500,0.0,-0.022862467069811078,9.960312081086206,10.041190399502325
10314,modDE,535,30,1500,0.0,-0.00016993329029486582,2.6837566077156514,2.6839369052532778
10315,modDE,535,30,3000,0.0,-0.0001236634605762621,2.1906917458312396,2.190802059367706
10316,modDE,535,30,9000,0.0,-0.0019125586772491322,4.576578159075103,4.580055977363753
10317,modDE,535,30,15000,0.0,-0.003326439979063611,9.922999960942906,9.934205652126002
10318,modDE,535,30,30000,0.0,-5.7861953948545876e-05,10.508214736400614,10.508457941001824
10319,modDE,535,30,45000,0.0,-7.524796499822629e-05,10.435915150422694,10.43622944273143
10320,modDE,536,5,250,0.0,-0.00391352314460196,2.1440980519637365,2.1477052727457946
10321,modDE,536,5,500,0.0,-0.0036587085055405756,1.9931723633137959,1.9964233864226255
10322,modDE,536,5,1500,0.0,-0.00012239796749571318,5.049039934209481,5.0492851928279014
10323,modDE,536,5,2500,0.0,-0.00014489745349717255,4.647790300612629,4.648061979887462
10324,modDE,536,5,5000,0.0,-0.00045416370931898874,4.297859461579867,4.298633690391506
10325,modDE,536,5,7500,0.0,-0.000197477568137705,4.495391927084152,4.4957433139893235
10326,modDE,536,30,1500,0.0,-1.560868808252458e-05,3.7329931756812846,3.7330164846590117
10327,modDE,536,30,3000,0.0,-4.0850636433331644e-05,3.443746787358554,3.443803442900335
10328,modDE,536,30,9000,0.0,-0.00021475122728205066,2.673482162747707,2.6737122222713197
10329,modDE,536,30,15000,0.0,-2.6754274624352093e-05,2.41835991993532,2.4183856213048216
10330,modDE,536,30,30000,0.0,-0.00318584620473259,4.200380954845889,4.205689529546027
10331,modDE,536,30,45000,0.0,-1.6476532508580277e-05,5.918455415301075,5.918494293180038
10332,modDE,537,5,250,0.0,-6.190780871895285e-06,4.913413732426949,4.913425807829914
10333,modDE,537,5,500,0.0,-0.0001387042882268208,4.5493093482136295,4.549561213377715
10334,modDE,537,5,1500,0.0,-0.0008788724420496052,7.535154289745757,7.537854286613625
10335,modDE,537,5,2500,0.0,-0.001705050744298653,10.058471267135241,10.065424060388104
10336,modDE,537,5,5000,0.0,-0.010438995161392173,12.551150938541241,12.602468939870205
10337,modDE,537,5,7500,0.0,-0.008464757163940285,12.878647122448788,12.921351332638327
10338,modDE,537,30,1500,0.0,-0.00020566530496015644,2.7144140667755945,2.7146369614338086
10339,modDE,537,30,3000,0.0,-0.00018720688096833803,2.2367329576034485,2.236899095873907
10340,modDE,537,30,9000,0.0,-0.00012258294723457296,6.906552519533122,6.906887215496548
10341,modDE,537,30,15000,0.0,-0.00044538516638295,8.577248357206262,8.578744403748894
10342,modDE,537,30,30000,0.0,-0.00043858614192009425,12.077171762042468,12.079265950277842
10343,modDE,537,30,45000,0.0,-0.0013019890905477728,11.864379889703773,11.870522444334823
10344,modDE,538,5,250,0.0,-0.0016212917031739327,2.0803855592714333,2.0818238281969457
10345,modDE,538,5,500,0.0,-0.002797105643065745,1.9671352046112858,1.9694000138925958
10346,modDE,538,5,1500,0.0,-0.00012817452681246344,5.08808902013671,5.088348485693456
10347,modDE,538,5,2500,0.0,-8.357433326828811e-05,4.634488818289444,4.634643465065038
10348,modDE,538,5,5000,0.0,-2.92290154896957e-05,4.2249879494492095,4.225037206114608
10349,modDE,538,5,7500,0.0,-0.0001591717440206697,4.464466103867527,4.4647477709609475
10350,modDE,538,30,1500,0.0,-8.221461345492287e-06,3.6422006319009683,3.6422125943973795
10351,modDE,538,30,3000,0.0,-8.139277685836888e-05,3.3008407080388906,3.3009477947169814
10352,modDE,538,30,9000,0.0,-1.540566054765158e-05,2.5904106683187402,2.5904264976075826
10353,modDE,538,30,15000,0.0,-3.53635675372832e-05,2.17114080964796,2.1711714911703837
